announced,body_type,camera_name,sensor_size,dp_score,n_had,n_own,n_want,price_high,price_low,questions,reviewed_date,user_review_count,user_score
"Oct 9, 1997
 ",,Agfa ePhoto 1280,,,12,16,3,,,2 questions asked,,15,3.98
"May 10, 1998
 ",,Agfa ePhoto 1680,,,10,6,3,,,0 questions asked,,17,4.11176
"Apr 12, 2000
 ",Compact,Agfa ePhoto CL18,,,4,3,1,,,1 question asked,,33,3.2
"Feb 26, 1999
 ",Compact,Agfa ePhoto CL30,,,1,2,3,,,0 questions asked,,20,3.21
"Sep 22, 1999
 ",Compact,Agfa ePhoto CL30 Clik!,,,4,8,2,,,0 questions asked,,13,3.10769
"Mar 12, 2001
 ",,Agfa ePhoto CL45,,,0,5,2,,,0 questions asked,,4,2.625
"Feb 26, 1999
 ",Compact,Agfa ePhoto CL50,,,3,5,1,,,0 questions asked,,9,3.81111
"Jun 29, 2009
 ",Compact,AgfaPhoto DC-600uw,"1/2.3"" (6.17 x 4.55 mm)",,0,1,0,,,1 question asked,,3,3.33333
"Feb 7, 2011
 ",Ultracompact,Canon ELPH 100 HS (IXUS 115 HS),"1/2.3"" (6.17 x 4.55 mm)",,14,39,5,$299.00 ,$162.90 ,3 questions asked,,5,3.7
"Jan 29, 2013
 ",Ultracompact,Canon Elph 115 IS (IXUS 132 HS),"1/2.3"" (6.17 x 4.55 mm)",,7,11,3,$229.00 ,$129.00 ,7 questions asked,,5,3.6
"Jan 7, 2013
 ",Ultracompact,Canon ELPH 130 (IXUS 140),"1/2.3"" (6.17 x 4.55 mm)",,3,4,0,$299.99 ,$249.99 ,2 questions asked,,1,3.5
"Feb 7, 2011
 ",Ultracompact,Canon ELPH 300 HS (IXUS 220 HS),"1/2.3"" (6.17 x 4.55 mm)",,38,67,7,$399.00 ,$318.99 ,8 questions asked,,8,4.29688
"Aug 23, 2011
 ",Ultracompact,Canon ELPH 310 HS (IXUS 230 HS),"1/2.3"" (6.17 x 4.55 mm)",,3,8,3,$389.00 ,$329.00 ,3 questions asked,,6,3.33333
"Jan 9, 2012
 ",Ultracompact,Canon ELPH 520 HS (IXUS 500 HS),"1/2.3"" (6.17 x 4.55 mm)",,1,11,5,$299.00 ,$209.99 ,1 question asked,,8,3.3125
"Jun 10, 2008
 ",Compact SLR,Canon EOS 1000D (EOS Rebel XS / Kiss F Digital),APS-C (22.2 x 14.8 mm),,157,170,3,,,59 questions asked,"Reviewed Jul 22, 2008",53,4.4283
"Feb 27, 2003
 ",Mid-size SLR,Canon EOS 10D,APS-C (22.7 x 15.1 mm),,427,152,1,,,26 questions asked,"Reviewed Mar 31, 2003",308,4.66169
"Feb 7, 2011
 ",Compact SLR,Canon EOS 1100D (EOS Rebel T3 / EOS Kiss X50),APS-C (22.2 x 14.8 mm),69%,110,315,16,$599.00 ,$299.00 ,221 questions asked,"Reviewed Apr 14, 2011",12,4.39167
"Feb 12, 2014
 ",Compact SLR,Canon EOS 1200D (EOS Rebel T5 / EOS Kiss X70),APS-C (22.3 x 14.9 mm),,27,139,18,$749.00 ,$350.00 ,158 questions asked,,9,4.4899
"Aug 19, 2004
 ",Mid-size SLR,Canon EOS 20D,APS-C (22.5 x 15 mm),,710,387,6,,,82 questions asked,"Reviewed Nov 3, 2004",263,4.59544
"Jun 1, 2005
 ",Mid-size SLR,Canon EOS 20Da,APS-C (22.5 x 15 mm),,2,3,0,,,1 question asked,,2,5
"Aug 20, 2003
 ",Compact SLR,Canon EOS 300D (EOS Digital Rebel / EOS Kiss Digital),APS-C (22.7 x 15.1 mm),,522,142,2,,,58 questions asked,"Reviewed Sep 4, 2003",322,4.44068
"Feb 21, 2006
 ",Mid-size SLR,Canon EOS 30D,APS-C (22.5 x 15 mm),,419,233,3,,,94 questions asked,"Reviewed Apr 4, 2006",184,4.64239
"Feb 17, 2005
 ",Compact SLR,Canon EOS 350D (EOS Digital Rebel XT / EOS Kiss Digital N),APS-C (22.2 x 14.8 mm),,638,273,2,,,73 questions asked,"Reviewed Apr 6, 2005",333,4.45896
"Aug 24, 2006
 ",Compact SLR,Canon EOS 400D (EOS Digital Rebel XTi / EOS Kiss Digital X),APS-C (22.2 x 14.8 mm),,437,348,3,$899.99 ,$399.00 ,70 questions asked,"Reviewed Oct 14, 2006",211,4.46972
"Aug 20, 2007
 ",Mid-size SLR,Canon EOS 40D,APS-C (22.2 x 14.8 mm),,804,732,7,,,211 questions asked,"Reviewed Oct 24, 2007",183,4.60765
"Jan 24, 2008
 ",Compact SLR,Canon EOS 450D (EOS Rebel XSi / EOS Kiss X2),APS-C (22.2 x 14.8 mm),,436,384,3,,,113 questions asked,"Reviewed May 23, 2008",133,4.30902
"Mar 25, 2009
 ",Compact SLR,Canon EOS 500D (EOS Rebel T1i / EOS Kiss X3),APS-C (22.3 x 14.9 mm),74%,259,356,7,,,166 questions asked,"Reviewed Jun 8, 2009",45,4.29556
"Aug 26, 2008
 ",Mid-size SLR,Canon EOS 50D,APS-C (22.3 x 14.9 mm),,378,491,9,,,165 questions asked,"Reviewed Oct 30, 2008",78,4.4
"Feb 8, 2010
 ",Compact SLR,Canon EOS 550D (EOS Rebel T2i / EOS Kiss X4),APS-C (22.3 x 14.9 mm),77%,429,777,35,$389.00 ,$199.00 ,426 questions asked,"Reviewed May 4, 2010",43,4.3814
"Aug 22, 2005
 ",Mid-size SLR,Canon EOS 5D,Full frame (36 x 24 mm),,649,595,28,,,1076 questions asked,"Reviewed Nov 12, 2005",139,4.54741
"Sep 17, 2008
 ",Mid-size SLR,Canon EOS 5D Mark II,Full frame (36 x 24 mm),79%,832,1797,169,,,382 questions asked,"Reviewed Feb 13, 2009",112,4.63338
"Mar 2, 2012
 ",Mid-size SLR,Canon EOS 5D Mark III,Full frame (36 x 24 mm),82%,415,2689,861,"$3,572.00 ","$2,499.00 ",768 questions asked,"Reviewed May 23, 2012",44,4.56452
"Aug 25, 2016
 ",Mid-size SLR,Canon EOS 5D Mark IV,Full frame (36 x 24 mm),87%,48,516,410,"$4,878.00 ","$3,499.00 ",99 questions asked,"Reviewed Sep 14, 2016",7,4.57363
"Feb 6, 2015
 ",Mid-size SLR,Canon EOS 5DS,Full frame (36 x 24 mm),83%,43,146,175,"$6,198.00 ","$3,469.00 ",102 questions asked,"Reviewed Dec 17, 2015",11,4.41477
"Feb 6, 2015
 ",Mid-size SLR,Canon EOS 5DS R,Full frame (36 x 24 mm),83%,51,259,329,"$6,398.00 ","$3,699.00 ",104 questions asked,"Reviewed Dec 17, 2015",11,5
"Feb 7, 2011
 ",Compact SLR,Canon EOS 600D (EOS Rebel T3i / EOS Kiss X5),APS-C (22.3 x 14.9 mm),77%,320,1412,84,$795.00 ,$514.95 ,777 questions asked,"Reviewed Mar 31, 2011",20,4.69375
"Aug 26, 2010
 ",Mid-size SLR,Canon EOS 60D,APS-C (22.3 x 14.9 mm),79%,484,1388,109,"$1,445.00 ",$799.99 ,816 questions asked,"Reviewed Nov 10, 2010",20,4.55
"Apr 7, 2012
 ",Mid-size SLR,Canon EOS 60Da,APS-C (22.3 x 14.9 mm),,0,17,15,,,11 questions asked,,,
"Sep 17, 2012
 ",Mid-size SLR,Canon EOS 6D,Full frame (36 x 24 mm),83%,303,2290,349,"$2,099.00 ","$1,499.00 ",1387 questions asked,"Reviewed Feb 13, 2013",48,4.61328
"Jun 29, 2017
 ",Mid-size SLR,Canon EOS 6D Mark II,Full frame (35.9 x 24 mm),,20,13,116,,,13 questions asked,,,
"Mar 21, 2013
 ",Compact SLR,Canon EOS 700D (EOS Rebel T5i / EOS Kiss X7i),APS-C (22.3 x 14.9 mm),76%,79,418,50,"$1,048.00 ",$599.00 ,391 questions asked,"Reviewed Jun 10, 2013",6,3.83333
"Jul 2, 2013
 ",Mid-size SLR,Canon EOS 70D,APS-C (22.5 x 15 mm),83%,267,1479,314,"$1,415.89 ",$899.00 ,1073 questions asked,"Reviewed Oct 31, 2013",25,4.22667
"Feb 15, 2017
 ",Mid-size SLR,Canon EOS 77D / EOS 9000D,APS-C (22.3 x 14.9 mm),82%,13,17,44,"$1,499.00 ",$899.00 ,29 questions asked,"Reviewed Apr 18, 2017",,
"Sep 1, 2009
 ",Mid-size SLR,Canon EOS 7D,APS-C (22.3 x 14.9 mm),84%,775,2173,199,"$1,299.00 ",$538.45 ,1454 questions asked,"Reviewed Nov 6, 2009",105,4.41995
"Sep 15, 2014
 ",Mid-size SLR,Canon EOS 7D Mark II,APS-C (22.4 x 15 mm),84%,169,1082,470,"$3,812.00 ","$1,499.00 ",237 questions asked,"Reviewed Dec 11, 2014",17,4.13163
"Feb 18, 2016
 ",Mid-size SLR,Canon EOS 80D,APS-C (22.5 x 15 mm),84%,60,470,250,"$1,649.00 ","$1,099.00 ",304 questions asked,"Reviewed Apr 27, 2016",7,4.55357
"May 17, 2000
 ",Mid-size SLR,Canon EOS D30,APS-C (22.7 x 15.1 mm),,120,31,3,,,4 questions asked,"Reviewed Oct 10, 2000",121,4.40165
"Feb 22, 2002
 ",Mid-size SLR,Canon EOS D60,APS-C (22.7 x 15.1 mm),,88,36,5,,,2 questions asked,"Reviewed Mar 24, 2002",94,4.5
"Jul 23, 2012
 ",Rangefinder-style mirrorless,Canon EOS M,APS-C (22.3 x 14.9 mm),,158,788,58,$595.00 ,$589.69 ,52 questions asked,"Reviewed Jul 23, 2012",35,4.05291
"Oct 13, 2015
 ",Rangefinder-style mirrorless,Canon EOS M10,APS-C (22.3 x 14.9 mm),,9,24,17,$679.00 ,$449.00 ,44 questions asked,"Reviewed May 12, 2017",,
"Feb 6, 2015
 ",Rangefinder-style mirrorless,Canon EOS M3,APS-C (22.3 x 14.9 mm),75%,82,268,141,$879.00 ,$429.00 ,219 questions asked,"Reviewed Aug 16, 2016",15,3.84148
"Sep 15, 2016
 ",SLR-style mirrorless,Canon EOS M5,APS-C (22.3 x 14.9 mm),82%,35,155,200,"$1,299.00 ",$979.00 ,21 questions asked,"Reviewed Dec 20, 2016",5,3.67143
"Feb 15, 2017
 ",Rangefinder-style mirrorless,Canon EOS M6,APS-C (22.3 x 14.9 mm),80%,9,47,46,"$1,099.00 ",$779.00 ,25 questions asked,"Reviewed May 16, 2017",3,4.16667
"Mar 21, 2013
 ",Compact SLR,Canon EOS Rebel SL1 (EOS 100D),APS-C (22.3 x 14.9 mm),78%,138,541,94,$849.00 ,$398.11 ,222 questions asked,"Reviewed Jul 26, 2013",11,4.24848
"Jun 29, 2017
 ",Compact SLR,Canon EOS Rebel SL2 (EOS 200D / Kiss X9),APS-C (22.3 x 14.9 mm),,5,6,27,$699.00 ,$549.00 ,5 questions asked,,2,4.25
"Jun 8, 2012
 ",Compact SLR,Canon EOS Rebel T4i (EOS 650D / EOS Kiss X6i),APS-C (22.3 x 14.9 mm),77%,120,541,62,$698.98 ,$669.00 ,484 questions asked,"Reviewed Aug 20, 2012",13,3.82692
"Mar 10, 2016
 ",Compact SLR,Canon EOS Rebel T6 (EOS 1300D),APS-C (22.3 x 14.9 mm),73%,9,28,13,$659.00 ,$449.00 ,43 questions asked,"Reviewed Jun 29, 2016",,
"Feb 6, 2015
 ",Compact SLR,Canon EOS Rebel T6i (EOS 750D / Kiss X8i),APS-C (22.3 x 14.9 mm),75%,14,85,37,$949.00 ,$749.00 ,60 questions asked,"Reviewed Jun 23, 2015",1,4.5
"Feb 6, 2015
 ",Compact SLR,Canon EOS Rebel T6s (EOS 760D / EOS 8000D),APS-C (22.3 x 14.9 mm),77%,27,125,106,"$1,428.93 ",$849.00 ,108 questions asked,"Reviewed Jun 15, 2015",3,4.66667
"Feb 15, 2017
 ",Mid-size SLR,Canon EOS Rebel T7i / EOS 800D / Kiss X9i,APS-C (22.3 x 14.9 mm),80%,9,9,20,"$1,299.00 ",$749.00 ,11 questions asked,"Reviewed May 3, 2017",,
"Sep 25, 2001
 ",Large SLR,Canon EOS-1D,APS-H (28.7 x 19.1 mm),,52,44,7,,,265 questions asked,"Reviewed Dec 13, 2001",45,4.60222
"Apr 12, 2012
 ",Large SLR,Canon EOS-1D C,Full frame (36 x 24 mm),,10,13,55,,,7 questions asked,,1,4.5
"Jan 29, 2004
 ",Large SLR,Canon EOS-1D Mark II,APS-H (28.7 x 19.1 mm),,130,111,4,,,20 questions asked,"Reviewed Jun 14, 2004",75,4.59867
"Aug 22, 2005
 ",Large SLR,Canon EOS-1D Mark II N,APS-H (28.7 x 19.1 mm),,89,97,5,,,8 questions asked,,32,4.5875
"Feb 22, 2007
 ",Large SLR,Canon EOS-1D Mark III,APS-H (28.7 x 18.7 mm),,144,190,16,,,20 questions asked,,83,4.55934
"Oct 20, 2009
 ",Large SLR,Canon EOS-1D Mark IV,APS-H (27.9 x 18.6 mm),89%,85,212,67,,,27 questions asked,"Reviewed Feb 22, 2010",31,4.27097
"Oct 18, 2011
 ",Large SLR,Canon EOS-1D X,Full frame (36 x 24 mm),,62,379,408,,,29 questions asked,,16,4.15625
"Feb 2, 2016
 ",Large SLR,Canon EOS-1D X Mark II,Full frame (36 x 24 mm),89%,40,209,312,,,26 questions asked,"Reviewed Jul 27, 2016",6,3.31667
"Sep 24, 2002
 ",Large SLR,Canon EOS-1Ds,Full frame (35.8 x 23.8 mm),,60,41,4,,,69 questions asked,"Reviewed Dec 17, 2002",39,4.58462
"Sep 21, 2004
 ",Large SLR,Canon EOS-1Ds Mark II,Full frame (36 x 24 mm),,118,125,7,,,18 questions asked,"Reviewed Oct 11, 2005",62,4.55
"Aug 20, 2007
 ",Large SLR,Canon EOS-1Ds Mark III,Full frame (36 x 24 mm),,70,140,39,,,19 questions asked,"Reviewed Aug 18, 2008",57,4.32957
"Aug 23, 2011
 ",Compact,Canon IXUS 1100 HS / IXY 50S / Canon ELPH 510 HS / Canon IXUS 1100 HS,"1/2.3"" (6.17 x 4.55 mm)",69%,3,3,5,$247.88 ,$169.00 ,1 question asked,"Reviewed Mar 1, 2012",1,3
"Jan 5, 2015
 ",,Canon IXUS 165,,,2,0,0,,,1 question asked,,,
"Feb 7, 2011
 ",Compact,Canon IXUS 310 HS (ELPH 500 HS / IXUS 310 HS / IXY 31S),"1/2.3"" (6.17 x 4.55 mm)",,7,11,1,$299.99 ,$239.95 ,3 questions asked,,6,3.58333
"Jul 16, 1997
 ",,Canon PowerShot 350,,,4,2,0,,,0 questions asked,,18,3.85
"May 13, 1996
 ",,Canon PowerShot 600,,,3,2,0,,,1 question asked,,8,3.675
"Feb 11, 2001
 ",Compact,Canon PowerShot A10,"1/2.7"" (5.312 x 3.984 mm)",,12,2,1,,,0 questions asked,,50,4.456
"Feb 22, 2002
 ",Compact,Canon PowerShot A100,"1/3.2"" (4.544 x 3.408 mm)",,2,1,1,,,0 questions asked,,6,4.28333
"Aug 26, 2008
 ",Compact,Canon PowerShot A1000 IS,"1/2.3"" (6.17 x 4.55 mm)",,10,3,0,,,0 questions asked,,6,3.86667
"Feb 18, 2009
 ",Compact,Canon PowerShot A1100 IS,"1/2.3"" (6.17 x 4.55 mm)",,6,9,0,$370.00 ,$337.00 ,2 questions asked,,9,4.01111
"Jan 5, 2011
 ",Compact,Canon PowerShot A1200,"1/2.3"" (6.17 x 4.55 mm)",,6,18,0,,,3 questions asked,,4,4.5
"Feb 7, 2012
 ",Compact,Canon PowerShot A1300,"1/2.3"" (6.17 x 4.55 mm)",,0,4,0,,,2 questions asked,,5,3.8
"Jan 7, 2013
 ",Compact,Canon PowerShot A1400,"1/2.3"" (6.17 x 4.55 mm)",,3,7,3,,,9 questions asked,,1,5
"Feb 11, 2001
 ",Compact,Canon PowerShot A20,"1/2.7"" (5.312 x 3.984 mm)",,24,7,0,,,0 questions asked,"Reviewed Apr 24, 2001",147,4.24966
"Jun 6, 2002
 ",Compact,Canon PowerShot A200,"1/3.2"" (4.544 x 3.408 mm)",,3,1,1,,,0 questions asked,,28,4.33929
"Aug 26, 2008
 ",Compact,Canon PowerShot A2000 IS,"1/2.3"" (6.17 x 4.55 mm)",,2,4,0,,,1 question asked,,7,4.1
"Feb 18, 2009
 ",Compact,Canon PowerShot A2100 IS,"1/2.3"" (6.17 x 4.55 mm)",,1,1,0,,,0 questions asked,,2,4.5
"Jan 5, 2011
 ",Compact,Canon PowerShot A2200,"1/2.3"" (6.17 x 4.55 mm)",,1,10,0,$219.95 ,$139.00 ,4 questions asked,,1,3.5
"Feb 7, 2012
 ",Compact,Canon PowerShot A2300,"1/2.3"" (6.17 x 4.55 mm)",,1,5,2,$299.99 ,$249.08 ,3 questions asked,,1,1.5
"Feb 7, 2012
 ",Compact,Canon PowerShot A2400 IS,"1/2.3"" (6.17 x 4.55 mm)",,0,2,1,$325.00 ,$169.99 ,1 question asked,,1,4
"Jan 29, 2013
 ",Compact,Canon PowerShot A2500,"1/2.3"" (6.17 x 4.55 mm)",,3,4,0,$199.00 ,$109.00 ,1 question asked,,,
"Feb 22, 2002
 ",Compact,Canon PowerShot A30,"1/2.7"" (5.312 x 3.984 mm)",,1,0,1,,,0 questions asked,,6,4.7
"Feb 27, 2003
 ",Compact,Canon PowerShot A300,"1/2.7"" (5.312 x 3.984 mm)",,7,3,1,,,0 questions asked,,29,4.34828
"Jan 5, 2010
 ",Compact,Canon PowerShot A3000 IS,"1/2.3"" (6.17 x 4.55 mm)",,3,2,0,,,0 questions asked,,5,3.54
